âÒçÜ,íäÇπÇÒì˙,íäÇπÇÒójì˙,íäÇπÇÒêîéöÇP,íäÇπÇÒêîéöÇQ,íäÇπÇÒêîéöÇR,íäÇπÇÒêîéöÇS,íäÇπÇÒêîéöÇT,íäÇπÇÒêîéöÇU,íäÇπÇÒêîéöÇV,É{Å[ÉiÉXêîéöÇP,É{Å[ÉiÉXêîéöÇQ,ÅyÇPìôÅzìñÇπÇÒã‡äzÅiíPà ÅFâ~Åj,ÅyÇPìôÅzìñÇπÇÒå˚êîÅiíPà ÅFå˚Åj,ÅyÇQìôÅzìñÇπÇÒã‡äzÅiíPà ÅFâ~Åj,ÅyÇQìôÅzìñÇπÇÒå˚êîÅiíPà ÅFå˚Åj,ÅyÇRìôÅzìñÇπÇÒã‡äzÅiíPà ÅFâ~Åj,ÅyÇRìôÅzìñÇπÇÒå˚êîÅiíPà ÅFå˚Åj,ÅyÇSìôÅzìñÇπÇÒã‡äzÅiíPà ÅFâ~Åj,ÅyÇSìôÅzìñÇπÇÒå˚êîÅiíPà ÅFå˚Åj,ÅyÇTìôÅzìñÇπÇÒã‡äzÅiíPà ÅFâ~Åj,ÅyÇTìôÅzìñÇπÇÒå˚êîÅiíPà ÅFå˚Åj,ÅyÇUìôÅzìñÇπÇÒã‡äzÅiíPà ÅFâ~Åj,ÅyÇUìôÅzìñÇπÇÒå˚êîÅiíPà ÅFå˚Åj,ÉLÉÉÉäÅ[ÉIÅ[ÉoÅ[ã‡äzÅiíPà ÅFâ~Åj
ëÊ0445âÒ,"2021/11/12",ã‡ójì˙,"04","22","25","27","28","30","33","02","03","1,000,000,000","1","11,093,600","8","868,800","143","10,500","6,894","1,500","117,831","1,000","207,372","779,732,175"
ëÊ0444âÒ,"2021/11/05",ã‡ójì˙,"11","15","16","17","18","27","29","25","33","0","0","4,101,500","19","839,200","130","9,300","6,843","1,400","111,162","900","194,994","1,238,948,930"
ëÊ0443âÒ,"2021/10/29",ã‡ójì˙,"01","05","08","26","28","32","36","23","24","1,000,000,000","1","9,471,100","9","1,104,900","108","11,200","6,249","1,500","109,679","1,000","206,470","758,020,130"
ëÊ0442âÒ,"2021/10/22",ã‡ójì˙,"06","13","14","16","19","30","32","25","36","0","0","6,279,000","12","1,172,000","90","11,100","5,564","1,500","96,830","1,000","174,526","1,241,142,145"
ëÊ0441âÒ,"2021/10/15",ã‡ójì˙,"15","21","22","23","27","28","37","08","25","0","0","8,588,600","8","933,800","103","10,200","5,503","1,500","90,085","1,000","158,968","775,975,100"
ëÊ0440âÒ,"2021/10/08",ã‡ójì˙,"05","10","17","18","19","22","32","14","35","0","0","14,358,600","4","903,400","89","9,900","4,718","1,400","78,846","1,000","134,203","354,102,975"
ëÊ0439âÒ,"2021/10/01",ã‡ójì˙,"01","03","06","09","26","29","31","14","18","88,576,400","4","7,335,600","8","574,500","143","7,900","6,080","1,300","91,170","900","153,997","0"
ëÊ0438âÒ,"2021/09/24",ã‡ójì˙,"04","13","16","21","32","34","37","27","33","178,941,700","2","8,440,000","7","419,800","197","9,000","5,374","1,500","79,677","1,000","138,136","0"
ëÊ0437âÒ,"2021/09/17",ã‡ójì˙,"08","10","14","15","23","25","26","01","11","179,193,600","2","8,580,100","7","885,000","95","10,200","4,828","1,500","80,324","1,000","146,799","0"
ëÊ0436âÒ,"2021/09/10",ã‡ójì˙,"05","06","21","22","26","31","32","18","36","369,299,700","1","8,803,000","7","1,052,000","82","12,400","4,061","1,600","74,584","1,100","139,501","0"
ëÊ0435âÒ,"2021/09/03",ã‡ójì˙,"03","05","07","11","15","17","25","13","32","381,436,800","1","3,665,700","17","476,700","183","7,100","7,126","1,200","99,874","1,000","148,388","0"
ëÊ0434âÒ,"2021/08/27",ã‡ójì˙,"10","11","12","17","29","34","37","26","30","380,539,500","1","6,231,100","10","752,000","116","9,800","5,217","1,400","84,556","1,000","150,152","0"
ëÊ0433âÒ,"2021/08/20",ã‡ójì˙,"14","17","20","25","32","33","36","10","34","924,772,200","3","18,051,800","5","607,500","208","9,500","7,787","1,500","115,046","1,200","186,504","0"
ëÊ0432âÒ,"2021/08/13",ã‡ójì˙,"05","10","13","24","29","30","35","21","31","0","0","6,875,000","12","726,400","159","9,200","7,355","1,400","116,284","1,000","205,507","2,230,422,760"
ëÊ0431âÒ,"2021/08/06",ã‡ójì˙,"07","11","12","17","19","20","26","02","03","0","0","5,654,000","14","1,007,400","110","9,100","7,134","1,400","107,170","900","200,427","1,739,327,690"
ëÊ0430âÒ,"2021/07/30",ã‡ójì˙,"02","12","17","24","28","30","32","03","27","0","0","9,329,400","8","785,600","133","9,000","6,783","1,400","104,881","1,000","175,085","1,245,188,435"
ëÊ0429âÒ,"2021/07/23",ã‡ójì˙,"06","11","14","27","30","32","35","18","24","0","0","4,534,800","15","721,400","132","9,000","6,151","1,400","92,298","1,000","162,590","789,467,390"
ëÊ0428âÒ,"2021/07/16",ã‡ójì˙,"03","06","16","22","31","34","35","24","32","0","0","30,630,300","2","857,600","100","10,500","4,776","1,500","78,859","1,100","134,265","372,261,370"
ëÊ0427âÒ,"2021/07/09",ã‡ójì˙,"11","13","26","27","31","33","37","09","18","383,434,200","2","7,307,100","10","838,500","122","10,400","5,752","1,500","97,154","900","183,235","0"
ëÊ0426âÒ,"2021/07/02",ã‡ójì˙,"01","02","06","08","30","31","33","13","35","1,000,000,000","1","16,047,800","5","928,300","121","11,400","5,774","1,500","104,229","1,100","176,644","316,221,110"
ëÊ0425âÒ,"2021/06/25",ã‡ójì˙,"02","09","14","20","22","34","35","07","24","0","0","12,027,500","6","732,000","138","10,700","5,493","1,600","88,916","1,100","159,744","831,040,900"
ëÊ0424âÒ,"2021/06/18",ã‡ójì˙,"05","06","12","19","25","30","35","26","33","0","0","3,807,700","17","629,300","144","8,300","6,349","1,300","95,292","1,000","153,959","396,864,750"
ëÊ0423âÒ,"2021/06/11",ã‡ójì˙,"01","07","09","11","29","31","32","02","06","849,866,300","2","7,015,200","11","885,500","122","8,800","7,194","1,300","112,047","1,000","192,350","0"
ëÊ0422âÒ,"2021/06/04",ã‡ójì˙,"01","09","21","23","30","35","36","05","06","0","0","9,103,000","8","494,900","206","8,400","7,074","1,500","97,729","1,000","173,131","1,233,906,425"
ëÊ0421âÒ,"2021/05/28",ã‡ójì˙,"09","15","18","26","28","32","37","21","36","0","0","11,596,300","6","811,700","120","9,400","6,058","1,400","94,384","1,100","157,399","794,723,940"
ëÊ0420âÒ,"2021/05/21",ã‡ójì˙,"04","05","11","13","24","32","34","02","03","0","0","8,680,800","7","1,000,800","85","9,900","5,018","1,400","83,656","1,000","140,942","375,095,330"
ëÊ0419âÒ,"2021/05/14",ã‡ójì˙,"03","11","14","21","26","29","34","22","33","190,298,900","2","15,874,700","4","608,800","146","8,000","6,512","1,400","92,017","1,000","152,031","0"
ëÊ0418âÒ,"2021/05/07",ã‡ójì˙,"10","13","17","18","22","28","37","01","20","389,059,300","1","13,020,600","5","1,024,000","89","10,800","4,923","1,600","81,754","1,200","132,113","0"
ëÊ0417âÒ,"2021/04/30",ã‡ójì˙,"04","05","13","18","23","27","32","09","11","209,683,200","2","3,842,300","18","706,700","137","7,600","7,439","1,300","102,586","900","186,587","0"
ëÊ0416âÒ,"2021/04/23",ã‡ójì˙,"08","09","10","15","16","30","31","29","36","429,819,100","1","7,142,100","10","621,000","161","8,200","7,094","1,300","106,925","1,000","175,578","0"
ëÊ0415âÒ,"2021/04/16",ã‡ójì˙,"04","08","12","13","23","32","37","16","35","916,445,700","6","6,169,300","17","734,100","200","8,900","9,672","1,400","150,747","1,000","253,869","0"
ëÊ0414âÒ,"2021/04/09",ã‡ójì˙,"03","08","16","21","25","36","37","14","20","1,000,000,000","1","5,285,900","20","694,800","213","9,100","9,472","1,400","143,262","1,100","233,701","4,871,127,215"
ëÊ0413âÒ,"2021/04/02",ã‡ójì˙,"03","10","16","18","19","34","35","27","36","1,000,000,000","1","8,438,000","14","884,400","187","10,100","9,545","1,500","155,215","1,000","270,403","5,226,989,110"
ëÊ0412âÒ,"2021/03/26",ã‡ójì˙,"14","20","22","29","31","33","34","15","24","0","0","6,660,200","16","857,300","174","9,100","9,577","1,500","139,977","1,100","230,790","5,499,152,315"
ëÊ0411âÒ,"2021/03/19",ã‡ójì˙,"04","11","12","21","23","27","36","09","14","1,000,000,000","1","5,005,100","22","644,900","239","7,900","11,396","1,300","168,943","900","296,752","4,852,667,870"
ëÊ0410âÒ,"2021/03/12",ã‡ójì˙,"01","02","18","21","26","29","37","09","36","0","0","9,016,600","12","1,003,100","151","10,400","8,484","1,700","128,783","1,100","234,655","5,192,036,460"
ëÊ0409âÒ,"2021/03/05",ã‡ójì˙,"13","15","16","24","30","31","37","12","33","1,000,000,000","2","9,712,400","12","780,700","209","9,900","9,617","1,500","149,678","1,100","250,298","4,541,466,095"
ëÊ0408âÒ,"2021/02/26",ã‡ójì˙,"16","18","19","21","29","30","35","14","28","0","0","6,668,900","17","789,600","201","10,300","8,976","1,500","143,898","1,100","239,143","5,826,847,840"
ëÊ0407âÒ,"2021/02/19",ã‡ójì˙,"19","21","25","26","28","30","31","09","16","0","0","11,974,300","9","1,077,600","140","12,100","7,275","1,600","130,052","1,100","236,344","5,124,236,005"
ëÊ0406âÒ,"2021/02/12",ã‡ójì˙,"01","02","05","16","18","21","29","24","25","0","0","11,590,300","9","1,043,100","140","10,600","8,035","1,500","132,750","1,100","234,763","4,469,314,595"
ëÊ0405âÒ,"2021/02/05",ã‡ójì˙,"03","10","16","17","24","32","36","11","29","1,000,000,000","1","2,839,700","40","600,000","265","8,300","11,201","1,400","160,364","1,000","279,209","3,839,676,215"
ëÊ0404âÒ,"2021/01/29",ã‡ójì˙,"04","08","13","16","25","30","32","09","26","1,000,000,000","1","6,435,200","19","506,400","338","8,100","12,289","1,300","177,419","1,000","299,495","4,159,928,850"
ëÊ0403âÒ,"2021/01/22",ã‡ójì˙,"02","06","08","12","19","20","29","05","26","0","0","7,034,600","16","753,900","209","8,800","10,493","1,400","160,099","1,000","277,426","4,415,642,950"
ëÊ0402âÒ,"2021/01/15",ã‡ójì˙,"07","09","12","17","20","26","29","04","13","0","0","9,424,800","11","729,300","199","9,500","8,946","1,500","139,603","1,000","253,104","3,744,761,225"
ëÊ0401âÒ,"2021/01/08",ã‡ójì˙,"04","05","09","14","18","30","35","01","33","0","0","18,702,000","6","908,000","173","9,800","9,392","1,400","157,204","1,000","263,431","3,127,268,000"
ëÊ0400âÒ,"2020/12/25",ã‡ójì˙,"04","17","22","28","30","31","35","25","34","0","0","16,604,900","6","636,800","219","9,000","9,043","1,400","135,365","1,100","219,734","2,441,887,750"
ëÊ0399âÒ,"2020/12/18",ã‡ójì˙,"07","15","19","20","21","33","36","04","10","0","0","6,212,300","14","888,700","137","9,500","7,501","1,500","112,970","1,000","197,889","1,834,932,435"
ëÊ0398âÒ,"2020/12/11",ã‡ójì˙,"03","04","10","17","20","22","33","01","06","0","0","8,938,000","9","834,200","135","9,300","7,096","1,400","111,518","1,000","197,911","1,296,202,550"
ëÊ0397âÒ,"2020/12/04",ã‡ójì˙,"04","12","13","15","21","28","37","07","20","0","0","4,876,800","15","781,700","131","8,500","7,060","1,300","107,285","1,000","177,064","812,294,860"
ëÊ0396âÒ,"2020/11/27",ã‡ójì˙,"02","03","05","08","16","20","34","26","31","0","0","8,652,900","7","921,700","92","9,600","5,149","1,400","82,997","1,100","134,718","366,819,660"
ëÊ0395âÒ,"2020/11/20",ã‡ójì˙,"01","02","05","20","26","29","32","08","09","270,621,900","3","10,529,500","7","1,289,800","80","12,800","4,725","1,700","83,410","1,000","180,779","0"
ëÊ0394âÒ,"2020/11/13",ã‡ójì˙,"06","10","22","23","27","32","33","08","19","0","0","2,268,700","27","414,200","207","6,300","7,926","1,300","94,991","900","164,740","366,674,380"
ëÊ0393âÒ,"2020/11/06",ã‡ójì˙,"07","14","15","22","27","30","31","09","32","388,842,900","1","3,523,800","18","513,200","173","7,200","7,173","1,300","98,663","900","160,022","0"
ëÊ0392âÒ,"2020/10/30",ã‡ójì˙,"01","04","06","15","20","22","26","18","21","675,744,100","2","8,318,100","10","837,700","139","10,400","6,569","1,500","108,197","1,100","181,718","0"
ëÊ0391âÒ,"2020/10/23",ã‡ójì˙,"10","23","27","32","33","35","37","24","26","0","0","9,366,400","8","971,300","108","11,800","5,193","1,600","92,949","1,100","160,194","847,273,605"
ëÊ0390âÒ,"2020/10/16",ã‡ójì˙,"03","06","19","21","23","26","27","30","34","0","0","10,491,400","6","793,900","111","9,900","5,177","1,400","86,684","1,000","143,274","391,476,860"
ëÊ0389âÒ,"2020/10/09",ã‡ójì˙,"01","06","11","13","18","24","27","17","23","783,897,800","3","9,751,700","9","538,900","228","8,400","8,544","1,300","128,735","1,000","214,659","0"
ëÊ0388âÒ,"2020/10/02",ã‡ójì˙,"01","06","08","10","18","21","32","13","28","0","0","8,005,900","11","1,044,800","118","10,300","6,967","1,500","116,250","1,000","206,896","1,819,256,050"
ëÊ0387âÒ,"2020/09/25",ã‡ójì˙,"03","07","13","22","30","32","37","14","15","0","0","8,797,100","9","893,800","124","10,700","6,062","1,600","98,008","1,000","189,963","1,282,685,065"
ëÊ0386âÒ,"2020/09/18",ã‡ójì˙,"09","19","22","32","35","36","37","07","21","0","0","12,273,200","6","1,198,700","86","12,200","4,931","1,600","89,546","1,100","157,340","804,624,070"
ëÊ0385âÒ,"2020/09/11",ã‡ójì˙,"04","12","14","24","29","34","35","05","15","1,000,000,000","1","6,828,200","12","567,800","202","7,100","9,477","1,300","118,923","1,000","193,635","353,636,415"
ëÊ0384âÒ,"2020/09/04",ã‡ójì˙,"03","07","15","18","26","30","31","09","33","0","0","3,807,600","20","561,100","190","7,900","7,883","1,300","112,856","900","196,135","848,389,185"
ëÊ0383âÒ,"2020/08/28",ã‡ójì˙,"08","11","15","22","26","28","30","10","20","0","0","6,319,700","10","610,100","145","8,400","6,176","1,300","97,501","1,000","153,383","378,153,785"
ëÊ0382âÒ,"2020/08/21",ã‡ójì˙,"02","03","05","08","19","22","37","16","28","369,188,600","1","15,462,300","4","671,200","129","8,700","5,782","1,400","89,293","1,000","150,505","0"
